Variable:,tasmin
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1901,5.80,7.91,4.32,8.27,3.86,3.99,8.71,6.15,9.89,5.78,4.57,3.07,8.68,3.65,4.03,8.36,9.80,3.30,8.26,8.29,4.35,9.58,3.78,9.36,5.74,6.29,8.48,4.32,4.04,3.44,8.90,4.11,4.51,7.36,7.77,2.49,9.01
1902,5.74,7.90,4.22,8.31,3.80,3.84,8.67,6.09,9.92,5.77,4.48,2.90,8.62,3.60,3.97,8.31,9.84,3.13,8.23,8.26,4.28,9.60,3.68,9.40,5.64,6.21,8.40,4.28,3.97,3.31,8.94,4.03,4.44,7.39,7.69,2.33,9.07
1903,6.11,8.17,4.65,8.41,4.12,4.42,9.02,6.43,10.15,5.96,4.81,3.51,8.97,3.88,4.29,8.72,10.08,3.73,8.67,8.70,4.64,9.86,4.31,9.62,6.13,6.71,8.77,4.52,4.31,3.88,9.03,4.55,4.74,7.53,8.06,2.95,9.18
1904,6.13,8.24,4.64,8.46,4.13,4.35,9.08,6.47,10.27,5.98,4.83,3.45,9.02,3.90,4.30,8.76,10.18,3.66,8.71,8.74,4.66,9.95,4.31,9.71,6.12,6.70,8.81,4.53,4.32,3.85,9.08,4.56,4.76,7.57,8.09,2.90,9.25
1905,5.88,7.99,4.40,8.23,3.93,4.11,8.82,6.22,9.99,5.76,4.63,3.20,8.76,3.72,4.10,8.49,9.89,3.42,8.43,8.46,4.41,9.67,4.01,9.44,5.86,6.44,8.56,4.33,4.11,3.60,8.85,4.30,4.56,7.35,7.84,2.65,9.01
1906,5.83,7.88,4.39,8.10,3.88,4.14,8.74,6.16,9.84,5.68,4.56,3.24,8.69,3.64,4.05,8.44,9.76,3.46,8.38,8.41,4.39,9.55,4.01,9.31,5.85,6.43,8.50,4.26,4.07,3.60,8.72,4.26,4.49,7.24,7.79,2.67,8.87
1907,5.70,7.83,4.21,8.03,3.73,3.89,8.64,6.05,9.83,5.57,4.46,2.99,8.59,3.50,3.91,8.30,9.75,3.20,8.23,8.26,4.24,9.52,3.85,9.29,5.66,6.23,8.38,4.12,3.93,3.39,8.66,4.11,4.38,7.15,7.66,2.44,8.82
1908,5.48,7.57,3.99,7.90,3.54,3.65,8.41,5.82,9.55,5.42,4.23,2.74,8.36,3.32,3.71,8.08,9.47,2.96,8.00,8.03,4.03,9.25,3.58,9.03,5.43,6.00,8.17,3.96,3.72,3.15,8.53,3.86,4.17,7.02,7.45,2.19,8.67
1909,5.83,7.92,4.39,8.10,3.89,4.13,8.75,6.19,9.89,5.68,4.60,3.20,8.72,3.67,4.06,8.43,9.81,3.43,8.35,8.38,4.40,9.60,3.92,9.35,5.84,6.41,8.53,4.28,4.08,3.57,8.71,4.22,4.52,7.23,7.82,2.62,8.87
1910,6.20,8.22,4.78,8.36,4.22,4.58,9.11,6.53,10.18,5.97,4.93,3.68,9.06,3.98,4.39,8.83,10.09,3.89,8.78,8.80,4.76,9.89,4.48,9.63,6.27,6.85,8.88,4.57,4.42,4.04,8.96,4.69,4.84,7.52,8.17,3.12,9.15
1911,6.18,8.27,4.70,8.47,4.16,4.43,9.12,6.51,10.28,6.01,4.88,3.56,9.07,3.92,4.34,8.79,10.20,3.76,8.73,8.76,4.71,9.98,4.48,9.73,6.17,6.75,8.86,4.56,4.37,3.97,9.09,4.70,4.80,7.60,8.14,3.04,9.27
1912,5.70,7.88,4.21,8.14,3.72,3.79,8.66,6.09,9.86,5.68,4.51,2.88,8.62,3.53,3.91,8.32,9.79,3.10,8.24,8.27,4.28,9.56,3.70,9.33,5.62,6.19,8.41,4.24,3.93,3.31,8.77,4.03,4.45,7.25,7.70,2.33,8.89
1913,5.92,8.12,4.42,8.38,3.93,3.93,8.94,6.34,10.13,5.91,4.73,3.02,8.89,3.73,4.13,8.59,10.05,3.24,8.52,8.55,4.52,9.82,3.92,9.58,5.83,6.40,8.68,4.45,4.15,3.48,9.01,4.24,4.67,7.48,7.96,2.49,9.14
1914,5.51,7.68,4.04,7.91,3.54,3.64,8.47,5.91,9.67,5.44,4.30,2.71,8.42,3.33,3.72,8.13,9.60,2.94,8.06,8.09,4.10,9.37,3.52,9.13,5.46,6.02,8.22,4.00,3.74,3.15,8.53,3.87,4.23,7.01,7.51,2.17,8.67
1915,6.19,8.35,4.71,8.59,4.28,4.37,9.10,6.55,10.35,6.13,4.98,3.38,9.05,4.05,4.45,8.76,10.26,3.64,8.69,8.72,4.75,10.02,4.20,9.80,6.13,6.70,8.85,4.69,4.47,3.81,9.21,4.52,4.91,7.72,8.14,2.84,9.37
1916,6.76,8.87,5.32,9.13,4.81,5.02,9.64,7.11,10.88,6.67,5.50,4.06,9.59,4.58,4.97,9.32,10.79,4.31,9.27,9.30,5.34,10.55,4.87,10.33,6.75,7.31,9.38,5.22,4.99,4.47,9.76,5.17,5.43,8.23,8.68,3.52,9.89
1917,6.03,8.17,4.58,8.44,4.11,4.24,8.94,6.40,10.18,5.96,4.78,3.24,8.89,3.88,4.27,8.62,10.09,3.50,8.56,8.59,4.61,9.85,4.05,9.64,6.00,6.57,8.69,4.51,4.29,3.67,9.06,4.38,4.72,7.55,7.98,2.70,9.21
1918,5.94,8.01,4.53,8.27,4.02,4.20,8.84,6.30,10.02,5.80,4.62,3.29,8.79,3.73,4.17,8.49,9.94,3.51,8.41,8.44,4.55,9.71,4.10,9.49,5.92,6.47,8.59,4.35,4.19,3.68,8.89,4.38,4.56,7.40,7.89,2.75,9.06
1919,5.93,8.09,4.43,8.37,4.04,4.11,8.81,6.28,10.07,5.90,4.73,3.11,8.77,3.84,4.21,8.47,9.99,3.37,8.38,8.41,4.47,9.75,3.94,9.54,5.85,6.41,8.57,4.46,4.22,3.54,8.99,4.26,4.67,7.48,7.86,2.57,9.12
1920,6.28,8.45,4.80,8.72,4.17,4.47,9.25,6.66,10.46,6.24,5.06,3.46,9.20,4.02,4.38,8.91,10.37,3.72,8.84,8.87,4.82,10.14,4.38,9.91,6.26,6.83,8.99,4.78,4.39,3.92,9.34,4.67,5.00,7.83,8.27,2.94,9.49
1921,6.12,8.22,4.67,8.42,4.01,4.37,9.09,6.48,10.23,5.94,4.83,3.48,9.03,3.80,4.20,8.77,10.14,3.68,8.71,8.74,4.69,9.92,4.34,9.68,6.13,6.71,8.83,4.49,4.23,3.89,9.04,4.61,4.75,7.57,8.12,2.95,9.24
1922,5.96,8.16,4.45,8.50,4.05,3.97,8.95,6.37,10.18,6.01,4.77,3.01,8.90,3.89,4.22,8.60,10.09,3.26,8.51,8.54,4.55,9.86,3.77,9.64,5.85,6.41,8.70,4.55,4.23,3.47,9.13,4.20,4.72,7.58,7.98,2.46,9.24
1923,6.77,8.83,5.32,9.05,4.78,5.11,9.69,7.09,10.80,6.60,5.46,4.19,9.63,4.56,4.94,9.37,10.74,4.41,9.32,9.35,5.31,10.52,4.98,10.27,6.80,7.38,9.43,5.17,4.97,4.58,9.67,5.27,5.39,8.13,8.72,3.64,9.77
1924,5.97,8.17,4.47,8.52,3.95,3.99,8.97,6.39,10.17,6.03,4.78,3.05,8.93,3.77,4.15,8.62,10.09,3.29,8.53,8.56,4.57,9.86,3.84,9.63,5.87,6.43,8.72,4.56,4.17,3.51,9.16,4.24,4.74,7.57,8.00,2.50,9.21
1925,6.27,8.40,4.79,8.64,4.30,4.48,9.21,6.62,10.37,6.18,5.03,3.56,9.16,4.09,4.47,8.88,10.32,3.79,8.82,8.85,4.82,10.09,4.34,9.85,6.24,6.82,8.96,4.74,4.50,3.98,9.27,4.68,4.96,7.72,8.24,3.01,9.36
1926,6.80,8.91,5.34,9.13,4.76,5.07,9.76,7.15,10.89,6.67,5.52,4.16,9.70,4.55,4.94,9.44,10.84,4.39,9.39,9.42,5.35,10.61,4.96,10.36,6.82,7.40,9.49,5.23,4.98,4.58,9.75,5.28,5.45,8.20,8.77,3.62,9.83
1927,7.04,9.19,5.58,9.43,5.06,5.19,10.03,7.43,11.17,6.97,5.79,4.27,9.98,4.88,5.23,9.69,11.12,4.50,9.63,9.66,5.63,10.89,5.04,10.64,7.01,7.58,9.77,5.53,5.25,4.70,10.06,5.42,5.73,8.50,9.06,3.72,10.13
1928,6.48,8.63,4.99,8.91,4.43,4.60,9.48,6.86,10.65,6.42,5.23,3.69,9.43,4.21,4.63,9.15,10.56,3.92,9.09,9.12,5.05,10.34,4.53,10.10,6.44,7.02,9.22,4.95,4.65,4.14,9.53,4.87,5.17,8.01,8.50,3.15,9.67
1929,5.70,7.85,4.23,8.04,3.72,3.89,8.68,6.07,9.89,5.59,4.41,2.96,8.63,3.51,3.89,8.33,9.80,3.19,8.25,8.28,4.26,9.57,3.75,9.34,5.67,6.24,8.42,4.15,3.91,3.37,8.65,4.07,4.35,7.21,7.70,2.40,8.89
1930,6.70,8.77,5.25,8.91,4.66,5.03,9.65,7.03,10.80,6.49,5.35,4.12,9.59,4.44,4.83,9.34,10.71,4.34,9.30,9.33,5.24,10.49,4.95,10.24,6.75,7.33,9.39,5.06,4.85,4.50,9.51,5.20,5.28,8.08,8.67,3.56,9.74
1931,5.97,8.15,4.45,8.46,3.99,4.11,8.84,6.31,10.15,5.96,4.78,3.17,8.78,3.83,4.18,8.51,10.06,3.41,8.45,8.48,4.49,9.81,4.02,9.61,5.88,6.45,8.57,4.49,4.20,3.61,9.09,4.34,4.71,7.57,7.86,2.64,9.23
1932,5.78,7.96,4.23,8.25,3.77,3.91,8.70,6.11,10.00,5.77,4.54,2.95,8.65,3.62,3.96,8.35,9.90,3.19,8.27,8.30,4.26,9.66,3.85,9.44,5.69,6.26,8.45,4.31,3.97,3.40,8.88,4.15,4.49,7.38,7.72,2.43,9.05
1933,5.03,7.24,3.49,7.49,2.94,3.19,7.92,5.36,9.26,5.00,3.83,2.25,7.86,2.84,3.14,7.59,9.17,2.47,7.54,7.57,3.51,8.91,3.11,8.71,4.96,5.54,7.64,3.54,3.16,2.69,8.11,3.42,3.76,6.64,6.93,1.72,8.32
1934,6.74,8.74,5.29,8.93,4.60,5.08,9.78,7.04,10.82,6.47,5.27,4.20,9.68,4.29,4.79,9.46,10.71,4.38,9.48,9.51,5.24,10.51,5.15,10.24,6.85,7.46,9.44,5.01,4.81,4.65,9.55,5.41,5.21,8.09,8.72,3.70,9.79
