Variable:,tasmin
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1901,5.14,4.20,6.46,3.06,5.79,4.77,6.80,5.30,4.48,8.00,3.77,5.96,6.15,5.48,4.16,4.02,5.11,5.18,6.09,5.49,6.05,5.35,3.40,22.01,21.95,21.64,22.52,17.25,16.14,21.34,21.61,22.45,20.91
1902,5.34,4.45,6.69,3.28,5.85,4.98,6.92,5.39,4.58,8.34,4.09,5.99,6.18,5.83,4.33,4.19,5.39,5.07,6.17,5.48,6.16,5.74,3.78,22.09,22.00,21.30,22.77,17.38,16.28,21.08,21.35,22.23,20.63
1903,5.59,4.71,6.79,3.45,6.35,5.22,7.22,5.80,5.01,8.20,4.17,6.57,6.69,5.83,4.54,4.60,5.45,5.90,6.61,6.10,6.47,5.72,3.82,22.08,21.98,21.39,22.58,17.27,16.16,21.14,21.41,22.29,20.69
1904,5.86,5.17,7.12,3.85,6.24,5.57,7.11,5.91,5.21,8.81,4.72,6.48,6.73,6.37,4.85,4.86,5.84,5.70,6.61,6.07,6.63,6.38,4.42,21.67,21.57,20.95,22.53,17.27,16.16,20.81,21.09,21.98,20.36
1905,5.35,4.60,6.55,3.21,5.98,5.00,6.94,5.51,4.83,8.09,4.04,6.18,6.37,5.64,4.33,4.48,5.21,5.49,6.24,5.77,6.21,5.57,3.64,21.87,21.79,21.24,22.62,17.29,16.18,21.03,21.30,22.18,20.58
1906,5.62,4.58,6.81,3.52,6.36,5.19,7.21,5.85,5.08,8.22,4.08,6.63,6.76,5.94,4.63,4.61,5.52,5.98,6.62,6.19,6.49,5.78,3.83,21.64,21.59,21.11,22.57,17.30,16.19,20.96,21.23,22.11,20.51
1907,5.55,4.54,6.89,3.47,6.14,5.12,7.01,5.72,4.89,8.24,4.07,6.36,6.52,5.97,4.63,4.44,5.58,5.62,6.52,5.92,6.49,5.80,3.84,21.50,21.42,20.84,22.55,17.28,16.17,20.75,21.03,21.93,20.30
1908,5.44,4.27,6.96,3.28,6.14,4.88,7.26,5.55,4.57,8.01,3.85,6.29,6.32,5.93,4.43,4.15,5.60,5.36,6.50,5.68,6.47,5.62,3.63,21.71,21.63,21.00,22.76,17.39,16.29,20.87,21.14,22.04,20.42
1909,5.05,4.04,6.37,2.91,5.79,4.62,6.75,5.27,4.41,7.79,3.60,5.97,6.08,5.36,4.07,3.94,5.00,5.16,6.12,5.45,6.03,5.16,3.23,21.84,21.74,20.93,22.60,17.29,16.18,20.81,21.09,21.98,20.36
1910,5.94,4.93,7.27,3.75,6.76,5.50,7.49,6.25,5.38,8.15,4.41,6.99,7.10,6.23,5.01,4.87,5.93,6.31,7.09,6.54,6.96,5.86,3.96,21.75,21.67,20.93,22.48,17.22,16.11,20.79,21.07,21.97,20.34
